date,gz_spread,ebp,est_prob
MAY1991,1.3355,0.1564,0.2649169627
JUN1991,1.2925,0.0835,0.2364709267
JUL1991,1.3979,0.1982,0.2819831169
AUG1991,1.3070,0.1115,0.2471899043
SEP1991,1.3943,0.1189,0.2500511189
OCT1991,1.3704,0.1118,0.2473058143
NOV1991,1.3627,0.1410,0.2587692193
DEC1991,1.5486,0.1463,0.2608734684
JAN1992,1.3493,0.0260,0.2152974592
FEB1992,1.2927,0.0794,0.234929471
MAR1992,1.2210,0.0288,0.2162910763
APR1992,1.2228,0.0171,0.212113135
MAY1992,1.2361,-0.0166,0.2003155101
JUN1992,1.2102,-0.0278,0.1964892941
JUL1992,1.2764,-0.1174,0.1674864019
AUG1992,1.4086,0.0823,0.2360095935
SEP1992,1.5190,0.1777,0.2735141976
OCT1992,1.4142,0.1101,0.2466283567
NOV1992,1.2874,0.0803,0.2352669213
DEC1992,1.3566,0.1149,0.2484973554
JAN1993,1.3869,0.0785,0.2345728894
FEB1993,1.4134,0.0430,0.2214432226
MAR1993,1.3630,0.0239,0.2145260003
APR1993,1.4151,0.0508,0.2242893367
MAY1993,1.3326,0.0230,0.2141992169
JUN1993,1.3091,-0.0697,0.1825716176
JUL1993,1.2896,-0.0762,0.1804737479
AUG1993,1.3723,-0.0917,0.1755048563
SEP1993,1.4032,0.0080,0.2088778747
OCT1993,1.3541,-0.0581,0.1863568531
NOV1993,1.2778,-0.1397,0.1607315215
DEC1993,1.2532,-0.1680,0.1524062434
JAN1994,1.2125,-0.2541,0.1288488108
FEB1994,1.1130,-0.4538,0.0842912672
MAR1994,1.2032,-0.3196,0.1127282271
APR1994,1.2112,-0.2753,0.1234717579
MAY1994,1.2439,-0.2770,0.1230555734
JUN1994,1.2008,-0.3248,0.111516649
JUL1994,1.1963,-0.3015,0.1170285094
AUG1994,1.1746,-0.2655,0.1259468388
SEP1994,1.1561,-0.3979,0.0954038612
OCT1994,1.1856,-0.2972,0.1180694934
NOV1994,1.2329,-0.2434,0.1316439299
DEC1994,1.2715,-0.1858,0.1473203589
JAN1995,1.2626,-0.2312,0.1348475077
FEB1995,1.2218,-0.2772,0.1230087899
MAR1995,1.2233,-0.2873,0.1204996104
APR1995,1.1922,-0.2398,0.1325896862
MAY1995,1.2974,-0.3507,0.1056025583
JUN1995,1.3166,-0.1596,0.1548553379
JUL1995,1.2403,-0.3403,0.107934836
AUG1995,1.2578,-0.2263,0.1361716086
SEP1995,1.2456,-0.1927,0.1453760741
OCT1995,1.3292,-0.1484,0.1581425685
NOV1995,1.3790,-0.0681,0.1830902311
DEC1995,1.3964,-0.0805,0.1790713938
JAN1996,1.3812,-0.1252,0.1651149516
FEB1996,1.2880,-0.3598,0.1035708044
MAR1996,1.2477,-0.3708,0.1011689433
APR1996,1.2390,-0.3199,0.1126689431
MAY1996,1.1908,-0.3467,0.1064939883
JUN1996,1.2466,-0.3068,0.1157581595
JUL1996,1.2648,-0.3401,0.1079832852
AUG1996,1.2368,-0.4142,0.0920542511
SEP1996,1.2150,-0.4106,0.0927951809
OCT1996,1.2583,-0.3493,0.1059132198
NOV1996,1.3041,-0.3170,0.1133390739
DEC1996,1.2328,-0.4202,0.0908474933
JAN1997,1.2469,-0.3353,0.1090853729
FEB1997,1.1593,-0.4769,0.0800044331
MAR1997,1.1865,-0.4817,0.0791218688
APR1997,1.1975,-0.4239,0.090112385
MAY1997,1.1248,-0.4514,0.0847455347
JUN1997,1.1284,-0.5359,0.0697814066
JUL1997,1.1828,-0.5097,0.0741812364
AUG1997,1.1295,-0.5036,0.0752366069
SEP1997,1.1370,-0.5648,0.0651534546
OCT1997,1.3061,-0.3964,0.0957179923
NOV1997,1.2936,-0.3283,0.1107048789
DEC1997,1.2926,-0.3945,0.0961178842
JAN1998,1.3552,-0.3311,0.1100539698
FEB1998,1.3082,-0.3176,0.1132039113
MAR1998,1.2967,-0.3713,0.1010478192
APR1998,1.1978,-0.4506,0.0848948977
MAY1998,1.2041,-0.3968,0.0956254796
JUN1998,1.3008,-0.3675,0.1018940542
JUL1998,1.3577,-0.3111,0.1147338626
AUG1998,1.9874,0.0909,0.2392680479
SEP1998,2.0953,0.0715,0.2319462643
OCT1998,2.2411,0.1867,0.2771989343
NOV1998,1.9725,0.1821,0.2753380833
DEC1998,1.9393,0.0462,0.2226078531
JAN1999,1.9006,0.0523,0.224829923
FEB1999,1.7651,-0.1905,0.1459872782
MAR1999,1.6642,-0.1495,0.157809841
APR1999,1.6063,-0.2020,0.1427790063
MAY1999,1.6505,-0.1889,0.1464481564
JUN1999,1.6822,-0.1355,0.161976412
JUL1999,1.7510,-0.0840,0.1779777245
AUG1999,1.9488,-0.0357,0.1938046856
SEP1999,1.9926,0.0813,0.2356224273
OCT1999,2.0590,0.0919,0.2396474167
NOV1999,2.0078,0.0569,0.2265420177
DEC1999,1.8406,-0.1668,0.1527352526
JAN2000,1.9340,0.0338,0.2181055296
FEB2000,2.0925,0.1044,0.2444596211
MAR2000,2.4398,0.3484,0.3472458821
APR2000,2.5948,0.5085,0.4221669091
MAY2000,2.7757,0.7088,0.5196282817
JUN2000,2.7711,0.7573,0.5433190235
JUL2000,2.8950,0.8389,0.5827282796
AUG2000,3.0177,0.9906,0.6535648011
SEP2000,3.1574,1.0903,0.6974843844
OCT2000,3.5978,1.4733,0.8381818523
NOV2000,3.7047,1.5567,0.8619864577
DEC2000,3.7372,1.5649,0.864185904
JAN2001,3.3465,1.1388,0.7179182454
FEB2001,3.2668,1.1749,0.7326867509
MAR2001,3.2244,1.1094,0.7056264691
APR2001,3.1940,0.9371,0.6290520258
MAY2001,2.9416,0.7348,0.5323639855
JUN2001,3.0582,0.9863,0.6516236625
JUL2001,3.0037,0.7426,0.5361342422
AUG2001,2.9996,0.7342,0.5320645939
SEP2001,3.5043,1.2144,0.748398625
OCT2001,3.4161,1.0299,0.6711461555
NOV2001,2.9644,-0.2057,0.1417701776
DEC2001,2.8957,0.3897,0.3661442445
JAN2002,2.9269,0.5561,0.4451215231
FEB2002,2.9559,0.7798,0.5542167903
MAR2002,2.6216,0.2617,0.3088508376
APR2002,2.6372,0.3805,0.3619085729
MAY2002,2.7313,0.5096,0.4226537667
JUN2002,3.3257,1.0117,0.6630397597
JUL2002,4.0922,1.6078,0.8753378106
AUG2002,3.9673,1.5041,0.8472606834
SEP2002,4.3004,1.6978,0.8965826117
OCT2002,4.3719,1.4860,0.8419548761
NOV2002,3.7915,1.0817,0.6938191897
DEC2002,3.6822,0.9525,0.6361577953
JAN2003,3.5830,0.9445,0.6324473816
FEB2003,3.4355,0.7231,0.5266243618
MAR2003,3.1973,0.1956,0.280893002
APR2003,2.6992,0.1165,0.2491217343
MAY2003,2.7770,-0.4942,0.0768924728
JUN2003,2.5140,-0.3596,0.1036244657
JUL2003,2.4210,-1.1134,0.0144132514
AUG2003,2.3753,-0.1873,0.1468778892
SEP2003,2.3990,-0.5713,0.0641504318
OCT2003,2.0869,-0.5314,0.0705247098
NOV2003,1.9842,-0.5741,0.0637188924
DEC2003,1.8998,-0.5321,0.0703965636
JAN2004,1.7801,-0.7598,0.0398819765
FEB2004,1.9050,-0.3623,0.1030328733
